"Districts","Rural/ Urban/ Total","Type of Poultry farms-Layer Farms"," Type of Poultry farms-Broiler farms"," Type of Poultry farms-Duck and other Poultry "," Type of Poultry farms-Total"," Number of Poultry Birds in farms-Layer","Number of Poultry Birds in farms-Broiler","Number of Poultry Birds in farms-Ducks"," Number of Poultry Birds in farms-Others"," Total"
"THIRUVALLUR","Rural",15,0,0,15,39,240000,5233,129,245401
"THIRUVALLUR","Urban",6,0,0,6,19,177000,3500,32,180551
"THIRUVALLUR","Total",21,0,0,21,58,417000,8733,161,425952
"CHENNAI","Rural",0,0,0,0,0,0,0,0,0
"CHENNAI","Urban",0,0,0,0,0,0,0,0,0
"CHENNAI","Total",0,0,0,0,0,0,0,0,0
"KANCHEEPURAM","Rural",1,7,0,8,62,79548,19,0,79629
"KANCHEEPURAM","Urban",0,1,2,3,8,422,9,0,439
"KANCHEEPURAM","Total",1,8,2,11,70,79970,28,0,80068
"VELLORE","Rural",9,216,1,226,74007,2308576,4000,0,2386583
"VELLORE","Urban",12,8,1,21,296000,440000,100,1,736101
"VELLORE","Total",21,224,2,247,370007,2748576,4100,1,3122684
"DHARMAPURI","Rural",0,3,0,3,0,15000,0,0,15000
"DHARMAPURI","Urban",0,1,0,1,0,2000,0,0,2000
"DHARMAPURI","Total",0,4,0,4,0,17000,0,0,17000
"TIRUVANNAMALLAI","Rural",0,32,3,35,0,314672,3,2003,316678
"TIRUVANNAMALLAI","Urban",0,0,0,0,0,0,0,0,0
"TIRUVANNAMALLAI","Total",0,32,3,35,0,314672,3,2003,316678
"VILUPPURAM","Rural",1,226,2,229,4373,1100325,208586,6801,1320085
"VILUPPURAM","Urban",0,13,0,13,0,95400,50100,0,145500
"VILUPPURAM","Total",1,239,2,242,4373,1195725,258686,6801,1465585
"SALEM","Rural",1,6,0,7,4500,335130,0,0,339630
"SALEM","Urban",0,0,0,0,0,0,0,0,0
"SALEM","Total",1,6,0,7,4500,335130,0,0,339630
"NAMAKKAL","Rural",54,27,22,103,39881188,1862849,3562,141,41747740
"NAMAKKAL","Urban",0,0,0,0,0,0,0,0,0
"NAMAKKAL","Total",54,27,22,103,39881188,1862849,3562,141,41747740
"ERODE","Rural",3,7,0,10,86600,6093277,0,58500,6238377
"ERODE","Urban",0,0,0,0,0,0,0,0,0
"ERODE","Total",3,7,0,10,86600,6093277,0,58500,6238377
"THE NILGIRIS","Rural",0,1,0,1,0,99,0,0,99
"THE NILGIRIS","Urban",0,0,0,0,0,0,0,0,0
"THE NILGIRIS","Total",0,1,0,1,0,99,0,0,99
"COIMBATORE","Rural",19,96,1,116,655475,37531052,5000,0,38191527
"COIMBATORE","Urban",4,19,6,29,24419,4915504,5,317,4940245
"COIMBATORE","Total",23,115,7,145,679894,42446556,5005,317,43131772
"DINDIGUL","Rural",1,6,0,7,55001,696100,26000,0,777101
"DINDIGUL","Urban",0,0,0,0,0,0,0,0,0
"DINDIGUL","Total",1,6,0,7,55001,696100,26000,0,777101
"KARUR","Rural",1,2,0,3,50000,116600,0,0,166600
"KARUR","Urban",0,0,0,0,0,0,0,0,0
"KARUR","Total",1,2,0,3,50000,116600,0,0,166600
"TIRUCHIRAPALLI","Rural",12,9,4,25,1452458,513500,6,15,1965979
"TIRUCHIRAPALLI","Urban",2,3,0,5,11,5,0,0,16
"TIRUCHIRAPALLI","Total",14,12,4,30,1452469,513505,6,15,1965995
"PERAMBALUR","Rural",0,1,0,1,0,55589,0,0,55589
"PERAMBALUR","Urban",0,0,0,0,0,0,0,0,0
"PERAMBALUR","Total",0,1,0,1,0,55589,0,0,55589
"ARIYALUR","Rural",0,0,0,0,0,0,0,0,0
"ARIYALUR","Urban",0,0,0,0,0,0,0,0,0
"ARIYALUR","Total",0,0,0,0,0,0,0,0,0
